"_time","Latitude 1664","Longitude 1664"
1778951330200,42.0694901,-84.23688817499999
1778951330400,42.069507275,-84.23688472500001
1778951330600,42.069526425,-84.23688560000001
1778951330800,42.06954487499999,-84.236892425
1778951331000,42.069563175000006,-84.23690359999999
1778951331200,42.06958584,-84.23692386
1778951331400,42.06960656666667,-84.23694426666667
1778951331600,42.06962555,-84.2369605
1778951331800,42.0696475,-84.2369727
1778951332000,42.06967276,-84.23697938000001
1778951332200,42.06969466666666,-84.23697903333333
1778951332400,42.069714475,-84.236973275
1778951332600,42.069733725,-84.2369607
1778951332800,42.0697481,-84.236941175
1778951333000,42.069758424999996,-84.236919225
1778951333200,42.0697665,-84.23689769999999
1778951333400,42.069770075,-84.23687475
1778951333600,42.069769050000005,-84.23685105
1778951333800,42.069769475,-84.23682819999999
1778951334000,42.069771375,-84.23680345
1778951334200,42.069773975,-84.2367764
1778951334400,42.069778559999996,-84.23674464
1778951334600,42.069781733333336,-84.2367168
1778951334800,42.069782200000006,-84.23669275
1778951335000,42.069780275,-84.23666659999999
1778951335200,42.069775525000004,-84.236641675
1778951335400,42.069768075,-84.236619725
1778951335600,42.06975292,-84.23660236
1778951335800,42.069735449999996,-84.2365907
1778951336000,42.069720266666664,-84.23658643333333
1778951336200,42.069706075,-84.23658654999998
1778951336400,42.069689374999996,-84.23659087499999
1778951336600,42.0696714,-84.23659925
1778951336800,42.0696515,-84.236612275
1778951337000,42.069627679999996,-84.23662946
1778951337200,42.069601825,-84.236644775
1778951337400,42.069581,-84.23665249999999
1778951337600,42.069559575,-84.23665667499999
1778951337800,42.0695366,-84.236664075
1778951338000,42.0695137,-84.23667922
1778951338200,42.06949716666667,-84.23669786666666
1778951338400,42.069485175,-84.23671722499999
1778951338600,42.069468875,-84.23673852499999
1778951338800,42.069448425,-84.236756325
1778951339000,42.069425475,-84.236772875
1778951339200,42.069399275,-84.236788025
1778951339400,42.06936535999999,-84.23679972
1778951339600,42.06932715,-84.23680627499999
1778951339800,42.0692917,-84.236810775
1778951340000,42.069259100000004,-84.2368145
1778951340200,42.069226099999995,-84.23681814999999
1778951340400,42.0691868,-84.23682265
1778951340600,42.069146225,-84.236828575
1778951340800,42.06909892,-84.23683806
1778951341000,42.069050275,-84.23684947499999
1778951341200,42.06901216666667,-84.23685986666668
1778951341400,42.06897365,-84.236871925
1778951341600,42.068928400000004,-84.23688595
1778951341800,42.0688763,-84.23690203999999
1778951342000,42.0688308,-84.23691646666666
1778951342200,42.06879365,-84.23692922499998
1778951342400,42.0687543,-84.23694295
1778951342600,42.068718149999995,-84.236958625
1778951342800,42.068685124999995,-84.23697859999999
1778951343000,42.068654725,-84.23700219999999
1778951343200,42.06862372,-84.23703371999999
1778951343400,42.06859816666667,-84.2370672
1778951343600,42.068577325,-84.23709914999999
1778951343800,42.068554199999994,-84.237135275
1778951344000,42.068531899999996,-84.2371661
1778951344200,42.068508125,-84.23719112500001
1778951344400,42.0684837,-84.2372108
1778951344600,42.06845812500001,-84.23722517499999
1778951344800,42.068431000000004,-84.237233525
1778951345000,42.068402375,-84.2372365
1778951345200,42.06837205000001,-84.237235925
1778951345400,42.068340175,-84.23722992500001
1778951345600,42.06830715,-84.23721995
